requirement_id,framework,area,title,severity,keyword_score,evidence_score,semantic_score,coverage_score,coverage_level,best_matching_section
EU-9.1,eu_ai_act,risk_management,Risk management system,critical,0.0,0.0,0.0,0.0,MISSING,None found
EU-9.2,eu_ai_act,risk_management,Risk identification and analysis,critical,0.0,0.167,0.0,0.058,MISSING,None found
EU-9.3,eu_ai_act,risk_management,Risk mitigation measures,critical,0.0,0.0,0.0,0.0,MISSING,None found
EU-9.4,eu_ai_act,risk_management,Testing for risk management,high,0.0,0.167,0.02,0.063,MISSING,None found
EU-10.1,eu_ai_act,data_governance,Training data governance,critical,0.3,0.0,0.063,0.136,WEAK,None found
EU-10.2,eu_ai_act,data_governance,Data representativeness,high,0.06,0.167,0.032,0.09,MISSING,None found
EU-10.3,eu_ai_act,data_governance,Bias examination,high,0.2,0.167,0.037,0.148,WEAK,"Model
Ensemble of logistic regression and gradient boosting. Features include credit history, income"
EU-10.4,eu_ai_act,data_governance,Personal data processing,high,0.12,0.167,0.069,0.124,WEAK,None found
EU-11.1,eu_ai_act,documentation,Technical documentation,critical,0.1,0.167,0.0,0.098,MISSING,None found
EU-11.2,eu_ai_act,documentation,System description,high,0.0,0.0,0.0,0.0,MISSING,None found
EU-12.1,eu_ai_act,record_keeping,Automatic logging,high,0.0,0.0,0.0,0.0,MISSING,None found
EU-13.1,eu_ai_act,transparency,Transparency obligations,high,0.0,0.0,0.0,0.0,MISSING,None found
EU-13.2,eu_ai_act,transparency,Instructions for use,high,0.0,0.0,0.021,0.005,MISSING,None found
EU-13.3,eu_ai_act,transparency,Performance disclosure,medium,0.325,0.167,0.0,0.188,WEAK,"Performance
- AUC: 0.91 on holdout test set
- Calibration: Hosmer-Lemeshow p=0.34"
EU-14.1,eu_ai_act,human_oversight,Human oversight design,critical,0.075,0.0,0.0,0.03,MISSING,None found
EU-14.2,eu_ai_act,human_oversight,Ability to override,high,0.075,0.0,0.0,0.03,MISSING,None found
EU-15.1,eu_ai_act,accuracy_robustness,Accuracy levels,high,0.2,0.167,0.0,0.138,WEAK,"Performance
- AUC: 0.91 on holdout test set
- Calibration: Hosmer-Lemeshow p=0.34"
EU-15.2,eu_ai_act,accuracy_robustness,Robustness,high,0.06,0.0,0.0,0.024,MISSING,None found
EU-15.3,eu_ai_act,accuracy_robustness,Cybersecurity,high,0.0,0.167,0.043,0.069,MISSING,None found
EU-72.1,eu_ai_act,post_deployment,Post-market monitoring system,high,0.0,0.167,0.0,0.058,MISSING,None found
EU-72.2,eu_ai_act,post_deployment,Incident reporting,high,0.0,0.0,0.0,0.0,MISSING,None found
EU-50.1,eu_ai_act,ai_interaction_disclosure,AI interaction disclosure,medium,0.0,0.25,0.0,0.087,MISSING,None found
EU-A4.1,eu_ai_act,documentation,Training methodology,high,0.0,0.0,0.058,0.015,MISSING,None found
EU-A4.2,eu_ai_act,documentation,Validation and testing procedures,high,0.2,0.0,0.075,0.099,MISSING,"Performance
- AUC: 0.91 on holdout test set
- Calibration: Hosmer-Lemeshow p=0.34"
NIST-GV.1,nist_rmf,govern,AI governance structure,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-GV.2,nist_rmf,govern,Accountability structure,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-GV.3,nist_rmf,govern,Workforce diversity,medium,0.0,0.0,0.0,0.0,MISSING,None found
NIST-GV.4,nist_rmf,govern,Organizational risk tolerance,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-GV.5,nist_rmf,govern,Third-party risk,medium,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MP.1,nist_rmf,map,Context establishment,high,0.0,0.167,0.0,0.058,MISSING,None found
NIST-MP.2,nist_rmf,map,Risk categorization,high,0.25,0.25,0.02,0.192,WEAK,"Compliance Notes
- ECOA and fair lending compliance review completed
- Adverse action notices genera"
NIST-MP.3,nist_rmf,map,Benefits and costs,medium,0.25,0.25,0.0,0.188,WEAK,"Compliance Notes
- ECOA and fair lending compliance review completed
- Adverse action notices genera"
NIST-MP.4,nist_rmf,map,Impact on individuals,high,0.2,0.5,0.0,0.255,WEAK,"Compliance Notes
- ECOA and fair lending compliance review completed
- Adverse action notices genera"
NIST-MS.1,nist_rmf,measure,Appropriate metrics,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MS.2,nist_rmf,measure,Fairness evaluation,high,0.06,0.0,0.021,0.029,MISSING,None found
NIST-MS.3,nist_rmf,measure,Explainability evaluation,medium,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MS.4,nist_rmf,measure,Safety evaluation,high,0.25,0.0,0.0,0.1,MISSING,"Compliance Notes
- ECOA and fair lending compliance review completed
- Adverse action notices genera"
NIST-MS.5,nist_rmf,measure,Security and resilience,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MG.1,nist_rmf,manage,Risk response,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MG.2,nist_rmf,manage,Continuous monitoring,high,0.0,0.167,0.0,0.058,MISSING,None found
NIST-MG.3,nist_rmf,manage,Incident response,medium,0.0,0.0,0.02,0.005,MISSING,None found
NIST-MG.4,nist_rmf,manage,Risk communication,medium,0.0,0.0,0.0,0.0,MISSING,None found
BP-MC.1,best_practices,model_card,Model details,high,0.167,0.5,0.043,0.252,WEAK,"About
ML model for consumer loan approval recommendations. Predicts default probability and suggests"
BP-MC.2,best_practices,model_card,Intended use,high,0.0,0.0,0.0,0.0,MISSING,None found
BP-MC.3,best_practices,model_card,Factors and metrics,high,0.4,0.25,0.041,0.258,WEAK,"Model
Ensemble of logistic regression and gradient boosting. Features include credit history, income"
BP-MC.4,best_practices,model_card,Evaluation results,high,0.2,0.0,0.023,0.086,MISSING,"Performance
- AUC: 0.91 on holdout test set
- Calibration: Hosmer-Lemeshow p=0.34"
BP-MC.5,best_practices,model_card,Ethical considerations,medium,0.06,0.5,0.0,0.199,WEAK,None found
BP-MC.6,best_practices,model_card,Limitations and caveats,high,0.0,0.0,0.0,0.0,MISSING,None found
BP-DS.1,best_practices,datasheet,Dataset motivation,high,0.0,0.0,0.0,0.0,MISSING,None found
BP-DS.2,best_practices,datasheet,Dataset composition,high,0.06,0.0,0.043,0.035,MISSING,None found
BP-DS.3,best_practices,datasheet,Collection process,medium,0.0,0.0,0.051,0.013,MISSING,None found
BP-DS.4,best_practices,datasheet,Preprocessing and labeling,medium,0.0,0.0,0.058,0.015,MISSING,None found
