requirement_id,framework,area,title,severity,keyword_score,evidence_score,semantic_score,coverage_score,coverage_level,best_matching_section
EU-9.1,eu_ai_act,risk_management,Risk management system,critical,0.0,0.0,0.045,0.011,MISSING,None found
EU-9.2,eu_ai_act,risk_management,Risk identification and analysis,critical,0.0,0.167,0.041,0.068,MISSING,None found
EU-9.3,eu_ai_act,risk_management,Risk mitigation measures,critical,0.0,0.0,0.0,0.0,MISSING,None found
EU-9.4,eu_ai_act,risk_management,Testing for risk management,high,0.0,0.167,0.0,0.058,MISSING,None found
EU-10.1,eu_ai_act,data_governance,Training data governance,critical,0.3,0.0,0.039,0.13,WEAK,None found
EU-10.2,eu_ai_act,data_governance,Data representativeness,high,0.06,0.167,0.02,0.087,MISSING,None found
EU-10.3,eu_ai_act,data_governance,Bias examination,high,0.0,0.167,0.023,0.064,MISSING,None found
EU-10.4,eu_ai_act,data_governance,Personal data processing,high,0.12,0.0,0.043,0.059,MISSING,None found
EU-11.1,eu_ai_act,documentation,Technical documentation,critical,0.1,0.333,0.021,0.162,WEAK,None found
EU-11.2,eu_ai_act,documentation,System description,high,0.175,0.25,0.045,0.169,WEAK,None found
EU-12.1,eu_ai_act,record_keeping,Automatic logging,high,0.0,0.0,0.042,0.011,MISSING,None found
EU-13.1,eu_ai_act,transparency,Transparency obligations,high,0.0,0.0,0.037,0.009,MISSING,None found
EU-13.2,eu_ai_act,transparency,Instructions for use,high,0.0,0.0,0.0,0.0,MISSING,None found
EU-13.3,eu_ai_act,transparency,Performance disclosure,medium,0.25,0.167,0.0,0.158,WEAK,"Performance
Achieves 82% agreement with human recruiters on top-10 candidate selection."
EU-14.1,eu_ai_act,human_oversight,Human oversight design,critical,0.15,0.167,0.042,0.129,WEAK,None found
EU-14.2,eu_ai_act,human_oversight,Ability to override,high,0.075,0.0,0.0,0.03,MISSING,None found
EU-15.1,eu_ai_act,accuracy_robustness,Accuracy levels,high,0.2,0.167,0.041,0.148,WEAK,"Performance
Achieves 82% agreement with human recruiters on top-10 candidate selection."
