requirement_id,area,title,severity,coverage,framework,recommendation
EU-9.3,risk_management,Risk mitigation measures,critical,0.0,eu_ai_act,No documentation found for risk_management. Create a dedicated section addressing Risk mitigation measures.
EU-9.1,risk_management,Risk management system,critical,0.011,eu_ai_act,No documentation found for risk_management. Create a dedicated section addressing Risk management system.
EU-9.2,risk_management,Risk identification and analysis,critical,0.068,eu_ai_act,No documentation found for risk_management. Create a dedicated section addressing Risk identification and analysis.
EU-14.1,human_oversight,Human oversight design,critical,0.129,eu_ai_act,Minimal coverage of human_oversight. Expand documentation with specific evidence and metrics.
EU-10.1,data_governance,Training data governance,critical,0.13,eu_ai_act,Minimal coverage of data_governance. Expand documentation with specific evidence and metrics.
EU-11.1,documentation,Technical documentation,critical,0.162,eu_ai_act,Minimal coverage of documentation. Expand documentation with specific evidence and metrics.
EU-13.2,transparency,Instructions for use,high,0.0,eu_ai_act,No documentation found for transparency. Create a dedicated section addressing Instructions for use.
EU-72.2,post_deployment,Incident reporting,high,0.0,eu_ai_act,No documentation found for post_deployment. Create a dedicated section addressing Incident reporting.
NIST-GV.4,govern,Organizational risk tolerance,high,0.0,nist_rmf,No documentation found for govern. Create a dedicated section addressing Organizational risk tolerance.
BP-MC.3,model_card,Factors and metrics,high,0.0,best_practices,No documentation found for model_card. Create a dedicated section addressing Factors and metrics.
BP-MC.6,model_card,Limitations and caveats,high,0.0,best_practices,No documentation found for model_card. Create a dedicated section addressing Limitations and caveats.
BP-DS.1,datasheet,Dataset motivation,high,0.0,best_practices,No documentation found for datasheet. Create a dedicated section addressing Dataset motivation.
EU-A4.2,documentation,Validation and testing procedures,high,0.005,eu_ai_act,No documentation found for documentation. Create a dedicated section addressing Validation and testing procedures.
EU-15.3,accuracy_robustness,Cybersecurity,high,0.007,eu_ai_act,No documentation found for accuracy_robustness. Create a dedicated section addressing Cybersecurity.
BP-MC.2,model_card,Intended use,high,0.007,best_practices,No documentation found for model_card. Create a dedicated section addressing Intended use.
EU-13.1,transparency,Transparency obligations,high,0.009,eu_ai_act,No documentation found for transparency. Create a dedicated section addressing Transparency obligations.
EU-12.1,record_keeping,Automatic logging,high,0.011,eu_ai_act,No documentation found for record_keeping. Create a dedicated section addressing Automatic logging.
EU-15.2,accuracy_robustness,Robustness,high,0.011,eu_ai_act,No documentation found for accuracy_robustness. Create a dedicated section addressing Robustness.
NIST-GV.1,govern,AI governance structure,high,0.013,nist_rmf,No documentation found for govern. Create a dedicated section addressing AI governance structure.
NIST-GV.2,govern,Accountability structure,high,0.013,nist_rmf,No documentation found for govern. Create a dedicated section addressing Accountability structure.
NIST-MS.1,measure,Appropriate metrics,high,0.013,nist_rmf,No documentation found for measure. Create a dedicated section addressing Appropriate metrics.
