requirement_id,framework,area,title,severity,keyword_score,evidence_score,semantic_score,coverage_score,coverage_level,best_matching_section
EU-13.1,eu_ai_act,transparency,Transparency obligations,high,0.0,0.0,0.0,0.0,MISSING,None found
EU-13.3,eu_ai_act,transparency,Performance disclosure,medium,0.0,0.0,0.0,0.0,MISSING,None found
EU-50.1,eu_ai_act,ai_interaction_disclosure,AI interaction disclosure,medium,0.2,0.0,0.0,0.08,MISSING,"# ChatHelper Bot
Customer service chatbot powered by LLM. Answers product questions and handles basi"
NIST-GV.1,nist_rmf,govern,AI governance structure,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-GV.2,nist_rmf,govern,Accountability structure,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-GV.3,nist_rmf,govern,Workforce diversity,medium,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MP.1,nist_rmf,map,Context establishment,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MP.2,nist_rmf,map,Risk categorization,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MS.1,nist_rmf,measure,Appropriate metrics,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MS.3,nist_rmf,measure,Explainability evaluation,medium,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MG.1,nist_rmf,manage,Risk response,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MG.4,nist_rmf,manage,Risk communication,medium,0.0,0.0,0.0,0.0,MISSING,None found
BP-MC.1,best_practices,model_card,Model details,high,0.0,0.0,0.043,0.011,MISSING,None found
BP-MC.2,best_practices,model_card,Intended use,high,0.0,0.0,0.0,0.0,MISSING,None found
BP-MC.3,best_practices,model_card,Factors and metrics,high,0.0,0.0,0.0,0.0,MISSING,None found
BP-MC.4,best_practices,model_card,Evaluation results,high,0.0,0.0,0.0,0.0,MISSING,None found
BP-MC.5,best_practices,model_card,Ethical considerations,medium,0.0,0.0,0.0,0.0,MISSING,None found
BP-MC.6,best_practices,model_card,Limitations and caveats,high,0.0,0.0,0.0,0.0,MISSING,None found
BP-DS.4,best_practices,datasheet,Preprocessing and labeling,medium,0.0,0.0,0.0,0.0,MISSING,None found
